Rk,Player,Nation,Pos,Squad,Comp,Age,Born,Min/90,SCA,SCA/90,PassLiveSh,PassDeadSh,DribSh,ShSh,FldSh,DefSh,GCA,GCA/90,PassLiveG,PassDeadG,DribG,ShG,FldG,DefG
1,Ismaël Aaneba,FRA,FW,RC Strasbourg Alsace,Ligue 1,21,1999,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2,Patrick van Aanholt,NLD,DF,Crystal Palace,Premier League,29,1990,19.7,26,1.32,22,3,1,0,0,0,3,0.15,2,1,0,0,0,0
3,Issah Abass,GHA,DF,1.FSV Mainz 05,Bundesliga,21,1998,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
4,Yunis Abdelhamid,MAR,DF,Stade Reims,Ligue 1,32,1987,32.1,11,0.34,10,0,0,1,0,0,0,0.00,0,0,0,0,0,0
5,Sabit Abdulai,GHA,MF,Getafe CF,La Liga,21,1999,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
6,Mehdi Abeid,DZA,MF,FC Nantes,Ligue 1,27,1992,14.7,28,1.91,18,4,2,0,2,2,1,0.07,1,0,0,0,0,0
7,Laurent Abergel,FRA,MF,FC Lorient,Ligue 1,27,1993,32.9,56,1.70,40,1,1,5,4,5,10,0.30,6,1,0,1,1,1
8,Charles Abi,FRA,FW,AS Saint-Étienne,Ligue 1,20,2000,10.1,14,1.38,11,1,1,0,1,0,2,0.20,2,0,0,0,0,0
9,Matthis Abline,FRA,FW,Stade Rennais FC,Ligue 1,17,2003,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
10,Pape Abou Cissé,SEN,DF,AS Saint-Étienne,Ligue 1,24,1995,14.0,7,0.50,4,0,0,2,1,0,0,0.00,0,0,0,0,0,0
11,David Abraham,ARG,DF,Eintracht Frankfurt,Bundesliga,34,1986,13.6,2,0.15,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
12,Tammy Abraham,ENG,FW,Chelsea FC,Premier League,22,1997,11.6,18,1.56,11,0,1,3,3,0,2,0.17,1,0,0,0,1,0
13,Amir Abrashi,ALB,MF,SC Freiburg,Bundesliga,30,1990,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
14,Gennaro Acampora,ITA,MF,Spezia Calcio,Serie A,26,1994,4.9,6,1.22,5,0,0,0,1,0,0,0.00,0,0,0,0,0,0
15,Francesco Acerbi,ITA,DF,SS Lazio,Serie A,32,1988,31.3,32,1.02,27,1,0,2,0,2,4,0.13,4,0,0,0,0,0
16,Ragnar Ache,DEU,FW,Eintracht Frankfurt,Bundesliga,22,1998,1.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
17,Marcos Acuña,ARG,DF,Sevilla FC,La Liga,28,1991,25.9,58,2.24,39,11,5,2,0,1,4,0.15,2,1,0,1,0,0
18,Ché Adams,SCO,FW,Southampton FC,Premier League,24,1996,29.6,66,2.23,48,0,1,6,8,3,8,0.27,7,0,0,0,1,0
19,Tyler Adams,USA,DF,RB Leipzig,Bundesliga,21,1999,20.6,27,1.31,23,0,0,0,3,1,3,0.15,2,0,0,0,0,1
20,Sargis Adamyan,ARM,FW,TSG 1899 Hoffenheim,Bundesliga,27,1993,5.3,22,4.13,15,1,1,2,3,0,6,1.13,3,0,0,2,1,0
21,Tosin Adarabioyo,ENG,DF,Fulham FC,Premier League,22,1997,32.8,17,0.52,16,0,0,1,0,0,1,0.03,1,0,0,0,0,0
22,Bobby Adekanye,NLD,FW,Cádiz CF,La Liga,21,1999,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
23,Yacine Adli,FRA,MF,FC Girondins Bordeaux,Ligue 1,20,2000,26.9,92,3.42,68,9,6,1,3,5,8,0.30,6,1,0,1,0,0
24,Andrea Adorante,ITA,FW,Parma Calcio 1913,Serie A,20,2000,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
25,Adrián,ESP,GK,Liverpool FC,Premier League,33,1987,3.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
26,Martín Aguirregabiria,ESP,DF,Deportivo Alavés,La Liga,24,1996,17.3,23,1.33,14,7,0,0,1,1,3,0.17,2,1,0,0,0,0
27,Lucien Agoume,FRA,MF,Spezia Calcio,Serie A,18,2002,8.9,6,0.68,6,0,0,0,0,0,2,0.23,2,0,0,0,0,0
28,Felix Agu,DEU,DF,SV Werder Bremen,Bundesliga,20,1999,7.8,6,0.77,4,0,1,0,1,0,1,0.13,1,0,0,0,0,0
29,Kevin Agudelo,COL,FW,Spezia Calcio,Serie A,21,1998,15.1,35,2.32,17,1,4,5,5,3,4,0.27,3,0,0,1,0,0
30,Nayef Aguerd,MAR,DF,Stade Rennais FC,Ligue 1,24,1996,35.0,14,0.40,12,0,0,2,0,0,1,0.03,1,0,0,0,0,0
31,Sergio Agüero,ARG,FW,Manchester City,Premier League,32,1988,6.2,16,2.58,13,0,2,0,0,1,3,0.48,2,0,1,0,0,0
32,Ruben Aguilar,FRA,DF,AS Monaco,Ligue 1,27,1993,24.7,72,2.91,56,9,2,1,4,0,8,0.32,6,0,1,0,1,0
33,Naouirou Ahamada,FRA,MF,VfB Stuttgart,Bundesliga,18,2002,2.8,2,0.71,1,0,1,0,0,0,0,0.00,0,0,0,0,0,0
34,Mattéo Ahlinvi,BEN,MF,Nîmes Olympique,Ligue 1,21,1999,10.0,10,1.00,4,2,0,0,2,2,0,0.00,0,0,0,0,0,0
35,Bamba Dieng,SEN,FW,Olympique Marseille,Ligue 1,20,2000,1.4,1,0.70,0,0,0,0,1,0,1,0.70,0,0,0,0,1,0
36,Jean-Eudes Aholou,CIV,MF,RC Strasbourg Alsace,Ligue 1,26,1994,23.8,25,1.05,19,1,0,2,2,1,4,0.17,2,0,0,1,0,1
37,Jean-Eudes Aholou,CIV,MF,AS Monaco,Ligue 1,26,1994,0.4,1,2.50,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0
38,Joseph Aidoo,GHA,DF,Celta de Vigo,La Liga,24,1995,14.3,10,0.70,7,0,1,2,0,0,2,0.14,2,0,0,0,0,0
